State,Year,Per_Capita_Personal_Consumption
New York,2017,45818
North Carolina,2017,36382
North Dakota,2017,43075
Ohio,2017,38163
Oklahoma,2017,33225
Oregon,2017,39694
Pennsylvania,2017,42351
Rhode Island,2017,41036
South Carolina,2017,36010
South Dakota,2017,38779
Tennessee,2017,35607
Texas,2017,38071
Utah,2017,34413
Vermont,2017,44889
Virginia,2017,41090
Washington,2017,43732
West Virginia,2017,35124
Wisconsin,2017,39052
Wyoming,2017,41472
Alabama,2018,34048
Alaska,2018,48904
Arizona,2018,39317
Arkansas,2018,34152
California,2018,46948
Colorado,2018,46118
Connecticut,2018,50889
Delaware,2018,45778
Florida,2018,44010
Georgia,2018,37966
Hawaii,2018,43819
Idaho,2018,33961
Illinois,2018,43629
Indiana,2018,37592
Iowa,2018,37816
Kansas,2018,37966
Kentucky,2018,35940
Louisiana,2018,36862
Maine,2018,45250
Maryland,2018,44609
Massachusetts,2018,52861
Michigan,2018,40991
Minnesota,2018,45228
Mississippi,2018,31767
Missouri,2018,39943
Montana,2018,41573
Nebraska,2018,39993
Nevada,2018,40618
New Hampshire,2018,50569
New Jersey,2018,48405
New Mexico,2018,35348
New York,2018,47932
North Carolina,2018,37776
North Dakota,2018,44506
Ohio,2018,39379
Oklahoma,2018,34622
Oregon,2018,41613
Pennsylvania,2018,44338
Rhode Island,2018,42595
South Carolina,2018,37188
South Dakota,2018,40371
Tennessee,2018,36768
Texas,2018,39454
Utah,2018,36272
Vermont,2018,47254
Virginia,2018,42642
Washington,2018,45818
West Virginia,2018,36710
Wisconsin,2018,40430
Wyoming,2018,42890
Alabama,2019,35385
Alaska,2019,50180
Arizona,2019,40565
Arkansas,2019,34756
California,2019,49083
Colorado,2019,48128
Connecticut,2019,51765
Delaware,2019,46731
Florida,2019,45332
Georgia,2019,39112
Hawaii,2019,45887
Idaho,2019,34701
Illinois,2019,44729
Indiana,2019,38361
Iowa,2019,38636
Kansas,2019,39012
Kentucky,2019,36729
Louisiana,2019,37894
Maine,2019,46368
Maryland,2019,45350
Massachusetts,2019,54500
Michigan,2019,42091
Minnesota,2019,45930
Mississippi,2019,32405
Missouri,2019,40777
Montana,2019,42615
Nebraska,2019,40935
Nevada,2019,41799
New Hampshire,2019,51891
New Jersey,2019,50118
New Mexico,2019,35760
New York,2019,49760
North Carolina,2019,39109
North Dakota,2019,45836
Ohio,2019,40412
Oklahoma,2019,35159
Oregon,2019,42838
Pennsylvania,2019,45538
Rhode Island,2019,43725
South Carolina,2019,38389
South Dakota,2019,41374
Tennessee,2019,38045
Texas,2019,40554
Utah,2019,37749
Vermont,2019,48228
Virginia,2019,43710
Washington,2019,47285
West Virginia,2019,37687
Wisconsin,2019,41504
Wyoming,2019,43916
Alabama,2020,34944
Alaska,2020,47839
Arizona,2020,40622
Arkansas,2020,35035
California,2020,47801
Colorado,2020,47410
Connecticut,2020,51555
Delaware,2020,45090
Florida,2020,44721
Georgia,2020,38444
Hawaii,2020,44135
Idaho,2020,34731
Illinois,2020,43955
Indiana,2020,38265
Iowa,2020,37946
Kansas,2020,38606
Kentucky,2020,36540
Louisiana,2020,37480
Maine,2020,46221
Maryland,2020,43742
Massachusetts,2020,52769
Michigan,2020,41197
Minnesota,2020,43683
Mississippi,2020,32811
Missouri,2020,40313
Montana,2020,42192
Nebraska,2020,40411
Nevada,2020,40747
New Hampshire,2020,51387
New Jersey,2020,48957
New Mexico,2020,35092
New York,2020,47890
North Carolina,2020,39065
North Dakota,2020,45047
Ohio,2020,39764
Oklahoma,2020,34814
Oregon,2020,42224
Pennsylvania,2020,44208
Rhode Island,2020,43231
South Carolina,2020,38212
South Dakota,2020,41351
Tennessee,2020,37805
Texas,2020,40267
Utah,2020,38180
Vermont,2020,47285
Virginia,2020,42979
Washington,2020,46223
West Virginia,2020,37454
Wisconsin,2020,40496
Wyoming,2020,44408
Alabama,2021,39382
Alaska,2021,54127
Arizona,2021,46171
Arkansas,2021,39389
California,2021,55088
Colorado,2021,54342
Connecticut,2021,57033
Delaware,2021,50870
Florida,2021,51286
Georgia,2021,43838
Hawaii,2021,49733
Idaho,2021,39861
Illinois,2021,49621
Indiana,2021,42820
Iowa,2021,42382
Kansas,2021,42604
Kentucky,2021,41199
Louisiana,2021,42350
Maine,2021,51856
Maryland,2021,48763
Massachusetts,2021,59570
Michigan,2021,46237
Minnesota,2021,48957
Mississippi,2021,36821
Missouri,2021,45008
Montana,2021,48264
Nebraska,2021,45720
Nevada,2021,46464
New Hampshire,2021,56720
New Jersey,2021,55758
New Mexico,2021,40128
New York,2021,53685
North Carolina,2021,44394
North Dakota,2021,49367
Ohio,2021,44402
Oklahoma,2021,39035
Oregon,2021,47703
Pennsylvania,2021,49059
Rhode Island,2021,48917
South Carolina,2021,43086
South Dakota,2021,46153
Tennessee,2021,42895
Texas,2021,45622
Utah,2021,43895
Vermont,2021,51432
Virginia,2021,48247
Washington,2021,52364
West Virginia,2021,41428
Wisconsin,2021,45690
Wyoming,2021,49298
Alabama,2022,42508
Alaska,2022,59239
Arizona,2022,50725
Arkansas,2022,42327
California,2022,60778
Colorado,2022,60087
Connecticut,2022,61234
Delaware,2022,55029
Florida,2022,56597
Georgia,2022,47713
Hawaii,2022,54574
Idaho,2022,43951
Illinois,2022,54904
Indiana,2022,47211
Iowa,2022,45788
Kansas,2022,46669
Kentucky,2022,44664
Louisiana,2022,45927
Maine,2022,56375
