State,Year,Per_Capita_Personal_Income
Georgia,2018,46624
Hawaii,2018,51554
Idaho,2018,43254
Illinois,2018,56077
Indiana,2018,46555
Iowa,2018,48773
Kansas,2018,50282
Kentucky,2018,41658
Louisiana,2018,45465
Maine,2018,47729
Maryland,2018,59915
Massachusetts,2018,69191
Michigan,2018,47089
Minnesota,2018,56201
Mississippi,2018,37624
Missouri,2018,46680
Montana,2018,47208
Nebraska,2018,51436
Nevada,2018,49289
New Hampshire,2018,60335
New Jersey,2018,64198
New Mexico,2018,40976
New York,2018,64229
North Carolina,2018,46048
North Dakota,2018,55173
Ohio,2018,47821
Oklahoma,2018,46030
Oregon,2018,50209
Pennsylvania,2018,54468
Rhode Island,2018,52132
South Carolina,2018,43817
South Dakota,2018,51579
Tennessee,2018,46449
Texas,2018,51346
Utah,2018,45463
Vermont,2018,51691
Virginia,2018,56130
Washington,2018,59824
West Virginia,2018,41001
Wisconsin,2018,50520
Wyoming,2018,59197
Alabama,2019,42998
Alaska,2019,60504
Arizona,2019,47718
Arkansas,2019,43737
California,2019,64219
Colorado,2019,61278
Connecticut,2019,74176
Delaware,2019,53778
Florida,2019,53666
Georgia,2019,48529
Hawaii,2019,53940
Idaho,2019,45880
Illinois,2019,57738
Indiana,2019,48270
Iowa,2019,49674
Kansas,2019,52156
Kentucky,2019,43466
Louisiana,2019,47015
Maine,2019,49983
Maryland,2019,61723
Massachusetts,2019,72381
Michigan,2019,48577
Minnesota,2019,57903
Mississippi,2019,39142
Missouri,2019,48425
Montana,2019,49654
Nebraska,2019,53513
Nevada,2019,51942
New Hampshire,2019,63946
New Jersey,2019,67518
New Mexico,2019,43223
New York,2019,66460
North Carolina,2019,48374
North Dakota,2019,56657
Ohio,2019,49395
Oklahoma,2019,48177
Oregon,2019,52190
Pennsylvania,2019,56139
Rhode Island,2019,55123
South Carolina,2019,46150
South Dakota,2019,54408
Tennessee,2019,48903
Texas,2019,53271
Utah,2019,48163
Vermont,2019,54278
Virginia,2019,58362
Washington,2019,63431
West Virginia,2019,42615
Wisconsin,2019,52370
Wyoming,2019,61853
Alabama,2020,45854
Alaska,2020,61858
Arizona,2020,52042
Arkansas,2020,47103
California,2020,70098
Colorado,2020,64693
Connecticut,2020,76829
Delaware,2020,55501
Florida,2020,56540
Georgia,2020,51463
Hawaii,2020,56998
Idaho,2020,49609
Illinois,2020,61584
Indiana,2020,51746
Iowa,2020,52625
Kansas,2020,55101
Kentucky,2020,47054
Louisiana,2020,50136
Maine,2020,54297
Maryland,2020,64884
Massachusetts,2020,77435
Michigan,2020,52798
Minnesota,2020,61328
Mississippi,2020,42448
Missouri,2020,52145
Montana,2020,53488
Nebraska,2020,56749
Nevada,2020,54676
New Hampshire,2020,67537
New Jersey,2020,70433
New Mexico,2020,46486
New York,2020,70396
North Carolina,2020,51758
North Dakota,2020,60368
Ohio,2020,52842
Oklahoma,2020,50022
Oregon,2020,56577
Pennsylvania,2020,60249
Rhode Island,2020,59255
South Carolina,2020,48770
South Dakota,2020,59429
Tennessee,2020,51959
Texas,2020,54805
Utah,2020,51742
Vermont,2020,58134
Virginia,2020,61403
Washington,2020,67643
West Virginia,2020,44869
Wisconsin,2020,55435
Wyoming,2020,65096
Alabama,2021,50483
Alaska,2021,65563
Arizona,2021,56976
Arkansas,2021,52845
California,2021,76882
Colorado,2021,71706
Connecticut,2021,81758
Delaware,2021,59630
Florida,2021,62242
Georgia,2021,56088
Hawaii,2021,61063
Idaho,2021,55417
Illinois,2021,66666
Indiana,2021,57272
Iowa,2021,58207
Kansas,2021,59021
Kentucky,2021,51769
Louisiana,2021,54959
Maine,2021,59175
Maryland,2021,69081
Massachusetts,2021,83805
Michigan,2021,56916
Minnesota,2021,67460
Mississippi,2021,46869
Missouri,2021,56639
Montana,2021,58981
Nebraska,2021,63526
Nevada,2021,60805
New Hampshire,2021,73682
New Jersey,2021,76052
New Mexico,2021,50691
New York,2021,76016
North Carolina,2021,57008
North Dakota,2021,65974
Ohio,2021,57340
Oklahoma,2021,54500
Oregon,2021,62347
Pennsylvania,2021,63788
Rhode Island,2021,62907
South Carolina,2021,53224
South Dakota,2021,67029
Tennessee,2021,57508
Texas,2021,60211
Utah,2021,58191
Vermont,2021,60818
Virginia,2021,66983
Washington,2021,73651
West Virginia,2021,48802
Wisconsin,2021,60465
Wyoming,2021,70973
Alabama,2022,51683
Alaska,2022,69015
Arizona,2022,58968
Arkansas,2022,55323
California,2022,76941
Colorado,2022,76674
Connecticut,2022,84994
Delaware,2022,63964
Florida,2022,64557
Georgia,2022,57290
Hawaii,2022,62564
Idaho,2022,57140
Illinois,2022,68566
Indiana,2022,58973
Iowa,2022,61575
Kansas,2022,62326
Kentucky,2022,52705
Louisiana,2022,55729
Maine,2022,61690
Maryland,2022,71340
